stationcode,name,capacity,station_opening_hours,panne
5016,Thouin - Cardinal Lemoine,0,,True
11025,Froment - Bréguet,0,,True
16138,Saint-Cloud - Hippodrome,0,,True
10161,Gare de l'Est - Faubourg-Saint-Martin,0,,True
21328,Verger - Colonel Guichard,0,,True
5020,Institut du Monde Arabe - Saint-Germain,0,,True
18107,Chartres - La Charbonnière,0,,True
11027,Saint-Ambroise - Parmentier,0,,True
15042,Henry Farman,0,,True
42706,Roger Salengro - Fontainebleau,0,,True
35010,Hoche - Jean Lolive,0,,True
1119,Cossonnerie - Sébastopol,0,,True
16108,Sablons - Georges Mandel,0,,True
9005,Square d'Anvers,0,,True
11004,Charonne - Faubourg Saint-Antoine,2,,False
16124,Route de Sèvres - Porte de Bagatelle,0,,True
13045,Jean Colly - Tolbiac,0,,True
14034,Ouest - Château,0,,True
5119,Jussieu - Guy de la Brosse,0,,True
31705,Champeaux - Gallieni,0,,True
41207,Place du Général de Gaulle,0,,True
12011,Charenton - Place du Col Bourgoin,0,,True
22101,Gare Routière de Saint Cloud,0,,True
2009,Filles Saint-Thomas - Place de la Bourse,1,,False
9115,Milton - Manuel,0,,True
17047,Courcelles - Pierre Demours,0,,True
17046,Mac-Mahon - Brey,0,,True
17121,Square des Epinettes,0,,True
20118,Orteaux - Mouraud,0,,True
9117,Bellefond - Maubeuge,0,,True
9026,Jean-Baptiste Pigalle - La Bruyere,1,,False
32015,Gare RER de Saint-Denis,0,,True
8019,Naples - Rome,0,,True
42703,Fontainebleau - Edmond Michelet,0,,True
18017,Caulaincourt - Place Constantin Pecqueur,0,,True
18137,Poissonniers - Nord,0,,True
31013,Centenaire - Sorins,0,,True
11003,Keller - La Roquette,0,,True
41206,Place des Larris,0,,True
8015,Roquépine - Malesherbes,0,,True
31101,Jules Guesde - Laennec,0,,True
12129,Bois de Vincennes - Porte Jaune,0,,True
8011,Clapeyron - Moscou,0,,True
9036,Athènes - Clichy,0,,True
17023,Porte d'Asnières,0,,True
13109,Brillat-Savarin - Küss,0,,True
21217,Louis Rolland - République,0,,True
10165,Gare de l'Est - Place du 11 Novembre 1918,0,,True
13128,Quai de la Gare - Pont de Bercy,1,,False
17204,Paul Bodin - Clichy,1,,False
8116,Champs-Elysees - Bassano,0,,True
5024,Place Monge,0,,True
10021,Marché Saint-Quentin,0,,True
15129,Hôpital Necker,0,,True
21315,Jules Guesdes - Général de Gaulle,0,,True
21303,Jean Monnet - Iles,0,,True
14001,Edgar Quinet - Gaité,0,,True
26004,Gare RER les Grésillons,0,,True
4006,Bourdon - Pont Morland,0,,True
22301,Chausson - Gabriel Péri,0,,True
20006,Pyrénées - Plaine,0,,True
21953,Gare de Bellevue,0,,True
4103,Archives - Rivoli,0,,True
19129,Solitaires - Place des Fêtes,0,,True
22503,Joffre - Aigle,0,,True
22306,Place du 17 Octobre,0,,True
3003,Fille du Calvaire - Turenne,0,,True
4018,Saint-Bon - Rivoli,0,,True
23107,Gare de Sèvres - Ville d'Avray,0,,True
43403,Gare RER - Canadiens,0,,True
3007,Archives - Pastourelle,0,,True
21119,Belfort - Victor Hugo,0,,True
16010,Belles Feuilles - Place de Mexico,0,,True
19046,Porte de Pantin.,0,,True
34013,Blanqui - Docteur Bauer,0,,True
21011,Silly - Louis Blériot,0,,True
42022,Gare RER - Maurice Grandcoing,0,,True
14004,Port Royal - Hôpital Cochin,0,,True
35013,Guillaume Tell - Parc Henri Barbusse,0,,True
13036,Olympiades,6,,False
43004,Montreuil - République,0,,True
5033,Saint-Séverin - Saint-Michel,0,,True
17110,Legendre - Nollet,2,,False
18101,Championnet.,0,,True
6028,Quatre Vents - Carrefour de l'Odéon,0,,True
13055,M.- A. Lagroua Weill-Hallé -  F. Dolto,0,,True
17126,Hélène et François Missoffe - Emile Borel,0,,True
34005,Adrien Lesesne - Docteur Bauer,0,,True
7023,Bourdonnais - Tour Eiffel,0,,True
1003,Saint-Denis - Rivoli,0,,True
21404,Jean Jaurès - Gare de Clamart,0,,True
4104,Sebastopol - Rambuteau,1,,False
12010,Daumesnil - Picpus,0,,True
21010,Silly - Galliéni,0,,True
7003,Square Boucicaut,0,,True
19033,Cambrai - Benjamin Constant,1,,False
92002,Théâtre des Amandiers - Palais des sports,0,,True
40016,Sarrazins - Saussure,0,,True
8048,Marceau - Chaillot,0,,True
9038,Douai - Bruxelles,0,,True
18203,Lamarck - Saint-Ouen,0,,True
92007,Pesaro - Préfecture,0,,True
11023,Saint-Maur - Roquette,0,,True
21212,Marne - Germain Dardan,0,,True
8017,Rocher - Laborde,0,,True
14106,Marc Sangnier - Porte de Vanves,0,,True
8045,Place de la Reine Astrid,0,,True
17013,Legendre - Dulong,0,,True
7102,Mairie du 7ème,0,,True
42504,Gare RER de Gentilly,0,,True
18201,Tristan Tzara -  Tchaïkovski,0,,True
18012,Stephenson - Doudeauville,2,,False
16121,Jardin d'Acclimatation,0,,True
33009,Félix Faure - Sadi Carnot,0,,True
18005,Tardieu - Chappe,0,,True
2010,Uzès - Montmartre,0,,True
13102,Pitié-Salpêtrière,0,,True
10015,Lucien Sampaix - Récollets,0,,True
22001,Château - Bineau,0,,True
31007,Paris - Désiré Préaux,25,,False
19040,Belleville - Télégraphe,0,,True
18029,Emile Blemont - Poteau,0,,True
